"numero";"ano";"id_unidade_requisitante";"nome_unidade_requisitante";"id_unidade_custo";"nome_unidade_custo";"data_envio";"descricao";"local";"observacoes";"status";"processo"
"7051";"2018";"52";"DEPARTAMENTO DE ENGENHARIA CIVIL";"52";"DEPARTAMENTO DE ENGENHARIA CIVIL";"19/09/2018";"Novo dimensionamento de extintores de incêndio do prédio do LARHISA.

 ";"prédio do LARHISA.";"";"AUTORIZADA PARA INFRA";
"7050";"2018";"1463";"RESIDENCIAS UNIVERSITÁRIAS";"1463";"RESIDENCIAS UNIVERSITÁRIAS";"19/09/2018";"Solicitamos por gentileza a revisão geral na rede elétrica da residência universitária biomédica. Diversos aparelhos estão queimando constantemente. ";"Residência Universitária Biomédica. ";"";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"7007";"2018";"8031";"PROAD - DIRETORIA DE GESTÃO DA INFORMAÇÃO";"1422";"PRÓ-REITORIA DE ADMINISTRAÇÃO (PROAD)";"18/09/2018";"De acordo com o Relatório de Inspeção de Segurança - COPS N° 041/2018
Instalação de Guarda Corpo na Calçada do Arquivo Geral.";"ARQUIVO GERAL";"";"AUTORIZADA PARA INFRA";
"6934";"2018";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"9160";"MANUTENÇÃO E CONSERVAÇÃO DA INFRA-ESTRUTURA FÍSICA";"14/09/2018";"RECUPERAÇÃO ESTRUTURAL DA CAPELA ECUMÊNICA DO CAMPUS CENTRAL";"CAPELA ECUMÊNICA DO CAMPUS CENTRAL";"RDC 11/2018  - R$ 95.436,38";"FINALIZADA_ATENDIMENTO";
"6763";"2018";"62";"ADMINISTRAÇÃO DO CERES - CURRAIS NOVOS";"9170";"MANUTENÇÃO DA REDE ELÉTRICA";"10/09/2018";"SERVIÇOS DE ILUMINAÇÃO DO ESTACIONAMENTO DO CERES - CURRAIS NOVOS/RN";"ESTACIONAMENTO DO CERES - CURRAIS NOVOS/RN";"RDC 12/2018 - R$ 111.444,99";"FINALIZADA_ATENDIMENTO";
"6664";"2018";"5279";"INSTITUTO INTERNACIONAL DE FÍSICA";"5279";"INSTITUTO INTERNACIONAL DE FÍSICA";"04/09/2018";"Solicitamos um estudo de viabilidade, localização e projeto para construção de uma pequena estação de lixo com portas, no mesmo modelo das que já existem em outros setores da UFRN. Falar com o gerente, Rodrigo Soares.";"Instituto Internacional de Física";"";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"6642";"2018";"119";"ADMINISTRAÇÃO DO CCET";"119";"ADMINISTRAÇÃO DO CCET";"03/09/2018";"POR ORIENTAÇÃO DOS RESPONSÁVEIS QUE COMPARECERAM AO CCET PARA ATENDER A REQUISIÇÃO DE MANUTENÇÃO Nº 5565/2018, DE 27/07/2018 (QUE SOLICITOU COM URGÊNCIA ENGENHEIRO ELÉTRICO PARA FAZER UMA AVALIAÇÃO GERAL DA REDE ELÉTRICA (INCLUSIVE ATERRAMENTOS) DO PRÉDIO-ADMINISTRATIVO DO CCET E DO PRÉDIO DOS ANFITEATROS, COM O OBJETIVO DE EVITAR EVENTUAIS ACIDENTES), REITERAMOS O MESMO PEDIDO, COM URGÊNCIA, POR MEIO DO SETOR DE PROJETOS, TENDO EM VISTA QUE FOI DETECTADA A NECESSIDADE DE UMA RESTRUTURAÇÃO TOTAL DA REDE.";"PRÉDIO-ADMINISTRATIVO DO CCET E PRÉDIO DOS ANFITEATROS DO CCET";"";"ATENDIDA";"23077.57226/2018-21"
"6547";"2018";"6069";"INSTITUTO METROPOLE DIGITAL";"6069";"INSTITUTO METROPOLE DIGITAL";"30/08/2018";"LIMPEZA E REVITALIZAÇÃO DO PISO EM GRANILITE BRANCO  DO NPITI";"PRÉDIO DO NPITI - CAMPUS CENTRAL/UFRN";"RDC 11/2018 - R$ 10.200,00";"FINALIZADA_ATENDIMENTO";
"6158";"2018";"205";"ESCOLA DE SAÚDE";"205";"ESCOLA DE SAÚDE";"17/08/2018";"Construção de 06 salas de 35m2, incluindo as salas e circulação, partindo da sugestão resultante do Parecer Técnico nº 109/2018-DPO/INFRA (2 salas de 35 m2 contíguas a caixa de escadas, apenas no térreo), e ampliado para os 3 pavimentos do prédio da ampliação da Escola de Saúde, estruturado para recebimento de ar condicionado e rede de lógica, obra a ser executada com recursos próprios da unidade (11.69)";"Pavimentos do prédio da ampliação da Escola de Saúde, no espaço contíguo a caixa de escadas de cada andar";"Os recursos serão da Unidade Orçamentária da Escola de Saúde (11.69)";"PENDENTE AUTORIZAÇÃO CHEFE UNIDADE";
"6116";"2018";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"16/08/2018";"DE ACORDO COM O PROCESSO 048782/2018-15, PARECER TÉCNICO N°119/2018, ONDE TRATA DO SISTEMA DE GÁS GLP ENCANADO DO DACT, SOLICITAMOS REFORMA PARA REALIZAR ADEQUAÇÃO DO SISTEMA DE GÁS GLP ENCANADO, CONFORME PARECER TÉCNICO Nº 628/2016 - DPO/INFRA.";"Departamento de Análises Clínicas e Toxicológicas - Faculdade de Farmácia.";"";"ATENDIDA";"23077.52479/2018-17"
