"id_obra";"descricao";"periodo";"qtd_dias";"status_obra";"licitacao";"empresa";"modalidade";"valor";"fonte_recurso";"vigencia_projeto";"projeto";"id_unidade_responsavel";"unidade_responsavel"
"848";"CONSTRUÇÃO DO SETOR DE ANTIBIÓTICOS PRODUÇÃO DE AMPICILINA - B1. 06-NUPLAM";"02/06/2005 - 29/01/2006";"240";"FINALIZADA";"4/2004";" 03.722.669/0001-85 - CONSTRUTORA CAGEO LTDA";"CONCORRÊNCIA";"R$     1.561.230,93";"TESOURO - EDUCAÇÃO (112000000)";;;"252";"NUCLEO DE PESQUISA EM ALIMENTOS E MEDICAMENTOS"
"521";"CONSTRUÇÃO DO BLOCO A1 DO SETOR DE AULAS TEÓRICAS IV - CT - UFRN";"04/05/2005 - 30/12/2005";"240";"FINALIZADA";"7/2004";" 03.166.687/0001-28 - CRS-CONSTRUÇÕES E EMPREENDIMENTOS";"CONCORRÊNCIA";"R$       833.702,12";;"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";;
"493";"CONSTRUÇÃO DO BLOCO H DO SETOR DE AULAS TEÓRICAS II - CCHLA";"23/03/2005 - 19/11/2005";"240";"FINALIZADA";"6/2004";" 03.166.687/0001-28 - CRS-CONSTRUÇÕES E EMPREENDIMENTOS";"CONCORRÊNCIA";"R$       829.454,21";;;;;
"925";"Complementação da 2ª Etapa e Realização da 3ª Etapa da Construção do Setor de Internamento do HUOL";"28/01/2005 - 22/01/2006";"360";"FINALIZADA";"2/2004";" 40.761.454/0001-08 - AR PROJETOS & CONSTRUÇÕES LTDA";"CONCORRÊNCIA";"R$       814.550,74";;"20/12/2002 - 31/07/2007";"UFRN/CONV.133/02 - HUOL (862003)";"446";"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES"
"478";"CONSTRUÇÃO DO BLOCO H DO SETOR DE AULAS TEÓRICAS III - CCET";"23/03/2005 - 19/11/2005";"240";"FINALIZADA";"5/2004";" 03.166.687/0001-28 - CRS-CONSTRUÇÕES E EMPREENDIMENTOS";"CONCORRÊNCIA";"R$       847.582,26";"APLICACOES FINANCEIRAS (280154215)";;;;
"185";"CONSTRUÇÃO DO NOVO SETOR DE INTERNAMENTO DO HUOL - 4ª ETAPA";"07/03/2006 - 31/12/2006";"300";"FINALIZADA";"3/2005";" 01.694.415/0001-75 - HASTE-HABITAÇÃO E SERVIÇOS TÉCNICOS LTDA";"CONCORRÊNCIA";"R$     4.900.000,00";;"28/12/2004 - 31/12/2009";"CONVENIO 120/04 MELHORIA DA INFRA ESTRUTURA DO HUOL (1132005)";;
"182";"CONSTRUÇÃO DO DEPARTAMENTO DE FISIOTERAPIA - CCS";"08/02/2006 - 02/02/2007";"360";"FINALIZADA";"1/2005";" 01.694.415/0001-75 - HASTE-HABITAÇÃO E SERVIÇOS TÉCNICOS LTDA";"CONCORRÊNCIA";"R$     1.455.865,61";;"20/12/2004 - 30/03/2010";"CONVENIO 121/2004 UFRN (732005)";"446";"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES"
"282";"ADAPTAÇÃO DE AMBIENTES DE ENSINO NO HOSPITAL UNIVERSITÁRIO ONOFRE LOPES  HUOL  3º, 4º e 5º Sub-solos";"11/09/2006 - 08/05/2007";"240";"FINALIZADA";"1/2006";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$     1.153.423,68";;"20/12/2005 - 31/12/2011";"FUNPEC/UFRN/CONV. 134/2005 - EMENDA PARLAMENTAR (542006)";"446";"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES"
"5778";"COMPLEMENTAÇÃO DA CONSTRUÇÃO DA 1ª ETAPA DO PAVILHÃO DE CLÍNICAS INTEGRADAS DA FACULDADE DE ODONTOLOGIA";"05/03/2010 - 02/08/2010";"150";"FINALIZADA";"3/2007";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$       967.866,36";;"20/12/2005 - 31/12/2011";"FUNPEC/UFRN/CONV. 134/2005 - EMENDA PARLAMENTAR (542006)";"441";"CENTRO DE CIÊNCIAS DA SAÚDE"
"2419";"CONSTRUÇÃO DO PAVILHÃO ACADÊMICO DO CAMPUS AVANÇADO DE SANTA CRUZ";"10/08/2007 - 04/06/2008";"300";"FINALIZADA";"2/2007";" 04.201.519/0001-99 - ESTRUTURAL EDIFICAÇÕES E PROJETOS LTDA";"CONCORRÊNCIA";"R$     1.248.942,91";;"23/01/2006 - 23/06/2010";"FINEP/REDE 01 GEOFISICA DA EXPLORACAO/FASE 2 - UFRN (1432006)";"1646";"CAMPUS AVANÇADO DE SANTA CRUZ"
"3217";"CONSTRUÇÃO DO NÚCLEO DE PROCESSAMENTO PRIMÁRIO E REUSO DE ÁGUAS PRODUZIDAS E RESÍDUOS - NUPPRAR.";"18/02/2008 - 13/05/2009";"450";"FINALIZADA";"4/2007";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$     2.833.577,19";"TESOURO - EDUCAÇÃO (112000000)";"21/09/2006 - 03/09/2013";"FUNPEC/CENPES/LTPP (1912006)";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE"
"5778";"COMPLEMENTAÇÃO DA CONSTRUÇÃO DA 1ª ETAPA DO PAVILHÃO DE CLÍNICAS INTEGRADAS DA FACULDADE DE ODONTOLOGIA";"05/03/2010 - 02/08/2010";"150";"FINALIZADA";"3/2007";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$       967.866,36";;"17/02/2005 - 31/03/2011";"UFRN/CONVENIO 101/2004 - MELHORIA DA QUALIDADE ACADEMICA (442005)";"441";"CENTRO DE CIÊNCIAS DA SAÚDE"
"5778";"COMPLEMENTAÇÃO DA CONSTRUÇÃO DA 1ª ETAPA DO PAVILHÃO DE CLÍNICAS INTEGRADAS DA FACULDADE DE ODONTOLOGIA";"05/03/2010 - 02/08/2010";"150";"FINALIZADA";"3/2007";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$       967.866,36";;"22/12/2003 - 30/04/2011";"UFRN CONV.128-03/LAB. DCS (2242003)";"441";"CENTRO DE CIÊNCIAS DA SAÚDE"
"3044";"CONSTRUÇÃO DA 1ª ETAPA DO PAVILHÃO DE CLÍNICAS INTEGRADAS DA FACULDADE DE ODONTOOGIA DA UFRN.";"06/12/2007 - 02/08/2008";"240";"FINALIZADA";"3/2007";" 07.443.865/0001-71 - AJF INCORPORAÇÃO CONSTRUÇÃO & LOCAÇÃO LTDA";"CONCORRÊNCIA";"R$     1.314.119,70";"SUS(1513689610) (151368961)";"22/12/2003 - 30/04/2011";"UFRN CONV.128-03/LAB. DCS (2242003)";"441";"CENTRO DE CIÊNCIAS DA SAÚDE"
"2341";"CONSTRUÇÃO DA 1ª ETAPA DO PAVILHÃO DIDÁTICO DO CENTRO DE BIOCIÊNCIAS DA  UFRN";"07/07/2007 - 31/03/2008";"270";"FINALIZADA";"1/2007";" 09.376.468/0001-50 - CST CONSTRUCOES E SERVICOS TECNICOS LTDA";"CONCORRÊNCIA";"R$     1.210.149,93";;"31/05/2005 - 30/05/2008";"CENPES/AVALIACAO DE CO2 (1342005)";"440";"CENTRO DE BIOCIÊNCIAS"
"4338";"CONSTRUÇÃO DO BLOCO I DE SALAS DE AULA - SETOR DE AULAS 4 - CENTRO DE TECNOLOGIA/ UFRN";"07/01/2009 - 04/09/2009";"240";"FINALIZADA";"1/2008";" 00.715.720/0001-33 - BMB CONSTRUÇÕES LTDA";"CONCORRÊNCIA";"R$     3.758.597,10";"TESOURO - EDUCAÇÃO (112000000)";"28/12/2007 - 28/03/2013";"FUNPEC/UFRN CONV. 164/2007 - REUNI (2532007)";"445";"CENTRO DE TECNOLOGIA"
"4334";"EXECUÇÃO, PELA CONTRATADA DA CONSTRUÇÃO DO PRÉDIO PARA O BACHARELADO EM CIÊNCIAS E TECNOLOGIA";"12/01/2009 - 09/10/2009";"270";"FINALIZADA";"3/2008";" 01.694.415/0001-75 - HASTE-HABITAÇÃO E SERVIÇOS TÉCNICOS LTDA";"CONCORRÊNCIA";"R$     9.124.714,86";"SESU - REUNI (112915030)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"445";"CENTRO DE TECNOLOGIA"
"4375";"CONSTRUÇÃO DO BLOCO I DE SALAS DE AULA - SETOR DE AULAS II - CCHLA/UFRN.";"15/01/2009 - 12/09/2009";"240";"FINALIZADA";"2/2008";" 12.647.038/0001-30 - CONSTRUTORA GALVÃO MARINHO LTDA";"CONCORRÊNCIA";"R$     4.182.124,21";"TESOURO - ORDINÁRIO (100000000)";"28/12/2007 - 28/03/2013";"FUNPEC/UFRN CONV. 164/2007 - REUNI (2532007)";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES"
"4355";"""CONSTRUÇÃO DO PAVILHÃO DE CLÍNICAS INTEGRADAS DO DEPARTAMENTO DE ODONTOLOGIA DA UFRN - 2ª ETAPA ";"19/01/2009 - 16/09/2009";"240";"FINALIZADA";"4/2008";" 04.201.519/0001-99 - ESTRUTURAL EDIFICAÇÕES E PROJETOS LTDA";"CONCORRÊNCIA";"R$     2.032.765,66";"SESU - REUNI (112915030)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"441";"CENTRO DE CIÊNCIAS DA SAÚDE"
"5172";"EXECUÇÃO, PELA CONTRATADA DA AMPLIAÇÃO DA BIBLIOTECA CENTRAL ZILA MAMEDE NO CAMPUS CENTRAL DA UFRN,";"25/09/2009 - 19/12/2010";"450";"FINALIZADA";"6/2009";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$     4.497.105,79";"TESOURO - EDUCAÇÃO (112000000)";"20/04/2005 - 20/11/2005";"19O ENECIC/2005 (852005)";"21";"BIBLIOTECA CENTRAL ZILA MAMEDE"
"5209";"AMPLIAÇÃO DO PAVILHÃO ADMINISTRATIVO DO CENTRO DE CIÊNCIAS HUMANAS LETRAS E ARTE  PRIMEIRA E SEGUNDA ETAPAS NO CAMPUS CENTRAL DA UFRN.";"27/10/2009 - 22/10/2010";"360";"FINALIZADA";"7/2009";" 04.145.787/0001-30 - ECCL - EMPREENDIMENTOS E CONSTRUÇÃO CIVIL LTDA";"CONCORRÊNCIA";"R$     1.446.096,36";"TESOURO - EDUCAÇÃO (112000000)";"28/12/2007 - 31/12/2012";"FUNPEC/UFRN CONV. 167/2007 - EMENDA P - INFRA ESTRUTURA UFRN (2512007)";"2562";"CCHLA - SECRETARIA ADMINISTRAÇÃO DO CCHLA"
